3.811e+10,6.175,24.95,0.0129,0.09139,-2.237,0.04605,0.04081,0.03729,-0.5208
2.97e+10,6.268,22.49,0.01284,0.09267,-1.361,0.04708,0.04187,0.03866,-0.4872
2.256e+10,6.233,23.1,0.01281,0.0914,-1.308,0.04723,0.04242,0.03943,-0.4465
2.311e+10,6.293,31.15,0.01285,0.0915,-2.313,0.04397,0.03931,0.03606,-0.489
3.954e+10,6.281,32.16,0.013,0.09384,-1.425,0.04192,0.03733,0.03419,-0.5037
4.269e+10,6.296,30.52,0.01281,0.0903,-2.551,0.04519,0.04025,0.03704,-0.4919
2.96e+10,6.268,17.52,0.01281,0.09088,-1.356,0.05341,0.04778,0.04431,-0.4621
2.622e+10,6.299,25.57,0.01286,0.096,-2.726,0.0431,0.03847,0.03537,-0.4885
4.045e+10,6.296,27.95,0.01291,0.09439,-2,0.04315,0.03867,0.03571,-0.4676
2.007e+10,6.238,24.86,0.01298,0.0933,-1.993,0.04504,0.03968,0.03695,-0.4912
3.503e+10,6.21,20.87,0.0128,0.09024,-2.074,0.04965,0.04453,0.04092,-0.4772
3.408e+10,6.281,25.68,0.01301,0.09562,-1.716,0.04341,0.03846,0.03538,-0.5054
3.215e+10,6.163,33.47,0.01294,0.0916,-1.707,0.04225,0.0379,0.03465,-0.489
2.316e+10,6.271,20.17,0.01285,0.09274,-2.609,0.04876,0.04358,0.03983,-0.4989
2.197e+10,6.293,17.81,0.01299,0.09074,-1.85,0.05345,0.04766,0.04399,-0.4815
2.522e+10,6.267,17.28,0.013,0.09502,-2.137,0.05016,0.04475,0.04164,-0.4613
4.299e+10,6.3,19.88,0.01292,0.09228,-1.71,0.0503,0.04508,0.04118,-0.4934
1.971e+10,6.265,32.2,0.01299,0.09349,-2.896,0.0421,0.03762,0.03403,-0.5238
3.898e+10,6.263,25.85,0.01301,0.09008,-2.745,0.04705,0.04203,0.03857,-0.4908
3.084e+10,6.287,32.52,0.01299,0.09385,-1.651,0.04217,0.0375,0.03458,-0.4907
